name,language code,ssml gender,hertz rate
ar-XA-Wavenet-A,ar-XA,2,24000
ar-XA-Wavenet-B,ar-XA,1,24000
ar-XA-Wavenet-C,ar-XA,1,24000
ar-XA-Wavenet-D,ar-XA,2,24000
bn-IN-Wavenet-A,bn-IN,2,24000
bn-IN-Wavenet-B,bn-IN,1,24000
en-GB-Wavenet-A,en-GB,2,24000
en-GB-Wavenet-B,en-GB,1,24000
en-GB-Wavenet-C,en-GB,2,24000
en-GB-Wavenet-D,en-GB,1,24000
en-GB-Wavenet-F,en-GB,2,24000
fr-CA-Wavenet-A,fr-CA,2,24000
fr-CA-Wavenet-B,fr-CA,1,24000
fr-CA-Wavenet-C,fr-CA,2,24000
fr-CA-Wavenet-D,fr-CA,1,24000
en-US-Wavenet-G,en-US,2,24000
en-US-Wavenet-H,en-US,2,24000
en-US-Wavenet-I,en-US,1,24000
en-US-Wavenet-J,en-US,1,24000
en-US-Wavenet-A,en-US,1,24000
en-US-Wavenet-B,en-US,1,24000
en-US-Wavenet-C,en-US,2,24000
en-US-Wavenet-D,en-US,1,24000
en-US-Wavenet-E,en-US,2,24000
en-US-Wavenet-F,en-US,2,24000
es-ES-Wavenet-C,es-ES,2,24000
es-ES-Wavenet-D,es-ES,2,24000
es-ES-Wavenet-B,es-ES,1,24000
fi-FI-Wavenet-A,fi-FI,2,24000
gu-IN-Wavenet-A,gu-IN,2,24000
gu-IN-Wavenet-B,gu-IN,1,24000
ja-JP-Wavenet-B,ja-JP,2,24000
ja-JP-Wavenet-C,ja-JP,1,24000
ja-JP-Wavenet-D,ja-JP,1,24000
ja-JP-Wavenet-A,ja-JP,2,24000
kn-IN-Wavenet-A,kn-IN,2,24000
kn-IN-Wavenet-B,kn-IN,1,24000
ml-IN-Wavenet-A,ml-IN,2,24000
ml-IN-Wavenet-B,ml-IN,1,24000
sv-SE-Wavenet-A,sv-SE,2,24000
ta-IN-Wavenet-A,ta-IN,2,24000
ta-IN-Wavenet-B,ta-IN,1,24000
tr-TR-Wavenet-B,tr-TR,1,24000
tr-TR-Wavenet-C,tr-TR,2,24000
tr-TR-Wavenet-D,tr-TR,2,24000
tr-TR-Wavenet-E,tr-TR,1,24000
tr-TR-Wavenet-A,tr-TR,2,24000
ms-MY-Wavenet-A,ms-MY,2,24000
